id;title;coverId
OL8898482M;Blink: Inteligencia intuitiva, Por que sabemos la sabemos la verdad en dos segundos (Blink: The Power of Thinking Without Thinking);879303
OL32091753M;David et Goliath;10746563
OL28370993M;Lost at sea;10308287
OL37047220M;Cooked;12624882
OL28331857M;What the Dog Saw;10280955
OL21594367M;The tipping point;10873293
OL24391629M;The Greatest Show on Earth;6645878
OL28130776M;Outgrowing God;10031271
OL35678174M;A Thousand Brains;12377591
OL8971647M;Energy;2043899
OL30125176M;How to Change Your Mind;10439667
OL26554445M;Noise;10981966
OL3024629M;The Blind Watchmaker;7145625
OL35693668M;Men Without Women;12391269
OL25082830M;The Magic of Reality;6954865
OL27322193M;Permanent record;10834065
OL23077711M;The Omnivore's Dilemma;8596711
OL32760762M;Born A Crime;11387472
OL27193250M;Steve Jobs;10675985
OL32445039M;The Panama Papers;11104316
OL4554174M;The selfish gene;7891217
OL28307932M;Fault Lines;10235791
OL25440550M;Capital in the twenty-first century;7274591
OL32289956M;Kleptopia;10916280
OL33419549M;The Ultimate Hitchhiker's Guide to the Galaxy;11972784
OL24243313W;Fooled by Randomness;10722532
OL27404766M;Inglorious Empire;8866894
OL27366070M;Gorbachev;8829228
OL35354582M;The black swan;12195345
OL27206755M;Shoe dog;13086786
OL36270783M;Kafka on the Shore;12657305
OL25538028M;Flatland;10016185
OL7590438M;The Richest Man in Babylon;296336
OL28198631M;Kaizen;10134351
OL31438584M;The Elements of Style;10519568
OL36583747M;How to Prevent the Next Pandemic;12729393
OL36618901M;Things to make and do in the fourth dimension;12510839
OL35038410M;How the World Really Works;12777538
OL4569826W;How to Solve It;94954
OL26374794M;The Hidden Life of Trees;8064205
OL30677089M;The Almanack of Naval Ravikant;10483235
OL22661787W;Merchants of Doubt;10483356
OL2040840M;Chaos;94249
OL32835319M;The Gene;11466863
OL33055982M;Dopamine Nation;11757830
OL32196580M;BLACK WARRANT;10847077
OL27449843M;Red Notice;8908883
OL36665710M;Starry Messenger;12903146
OL26327044M;What if?;13124540
OL25648567M;Zero to One;7318839
