Sr,Again,Author,Book,From,To,Pages
1,Yes,Neil DeGrasse Tyson,Letters from an Astrophysicist,"Sat, Feb 20, 2021","Mon, Feb 22, 2021",238
2,No,Neil DeGrasse Tyson,Astrophysics for People in a Hurry,"Sun, Feb 21, 2021","Sat, Feb 27, 2021",208
3,Yes,"Hector Garcia, Francesc Miralles",Ikigai,"Sun, Feb 21, 2021","Sun, Feb 28, 2021",179
4,No,"Neil DeGrasse Tyson, Avis Lang",Accessory to War,"Sun, Feb 28, 2021","Fri, Mar 5, 2021",404
5,No,Robert L Picconi,Einstein for Everyone,"Mon, Mar 8, 2021","Fri, Mar 12, 2021",293
6,Yes,Jordan Peterson,12 Rules for Life: An Antidote to Chaos,"Sun, Mar 14, 2021","Wed, Apr 21, 2021",368
7,Yes,Nicollo Machiavelli,The Prince,"Mon, Apr 19, 2021","Tue, Jul 6, 2021",120
8,Ref,Bill Gates,How to Avoid a Climate Disaster,"Tue, May 4, 2021","Sat, May 8, 2021",230
9,No,Hans Rosling,Factfullness,"Sat, May 8, 2021","Sun, May 9, 2021",257
10,No,Walter Isaacson,The Code Breaker,"Sat, May 8, 2021","Wed, Jul 14, 2021",478
11,No,Fyodor Dostoyevsky,Crime and Punishment,"Thu, May 13, 2021","Sun, May 30, 2021",567
12,No,Nassim Taleb,Anti-fragile,"Sun, May 30, 2021","Mon, Jun 28, 2021",426
13,No,Matt Parker,Humble Pi,"Mon, Jun 28, 2021","Tue, Jul 6, 2021",313
14,No,George Orwell,1984,"Mon, Jun 28, 2021","Tue, Jul 13, 2021",290
15,No,Cathy O’Neil,Weapons of Math Destruction,"Sun, Jul 4, 2021","Tue, Jul 6, 2021",218
16,No,James Clear,Atomic Habits,"Wed, Jul 7, 2021","Sat, Jul 10, 2021",253
17,No,Tim Harford,How to Make the World Add Up,"Wed, Jul 7, 2021","Tue, Jul 13, 2021",294
18,Imp,Leonard Susskind,Theoretical Minimum: Classical Mech,"Sat, Jul 10, 2021","Sat, Jul 10, 2021",227
19,No,Bill Bryson,A Short History of Nearly Everything,"Sat, Jul 10, 2021","Sun, Jul 18, 2021",574
20,Yes,Adam Smith,The Wealth of Nations,"Sun, Jul 11, 2021","Sun, Jul 25, 2021",1060
21,No,George Orwell,Animal Farm,"Tue, Jul 13, 2021","Wed, Jul 14, 2021",127
22,No,Elizabeth Kolbert,The Sixth Extinction,"Wed, Jul 14, 2021","Sat, Sept 11, 2021",276
23,No,Marry Shelly,Frankenstein,"Fri, Jul 16, 2021","Fri, Jul 16, 2021",227
24,No,Aldous Huxley,Brave New World,"Sun, Jul 18, 2021","Sun, Jul 25, 2021",229
25,No,"Jonathan Haidt, Gred Luianoff",The Coddling of the American Mind,"Tue, Jul 20, 2021","Sun, Jul 25, 2021",270
26,No,Yeonmi Park,In Order to Live,"Sun, Jul 25, 2021","Tue, Aug 3, 2021",267
27,Maybe,Daniel Kahneman,Thinking Fast and Slow,"Sun, Jul 25, 2021","Fri, Aug 6, 2021",448
28,Maybe,Richard Dawkins,The God Delusion,"Sat, Jul 31, 2021","Tue, Aug 3, 2021",419
29,Imp,Lao Tau,Tao Te Ching,"Sat, Jul 31, 2021","Sun, Aug 1, 2021",115
30,No,Angela Duckworth,Grit,"Tue, Aug 3, 2021","Wed, Aug 4, 2021",335
31,No,"Dawkins, Bennett, Harris, Hitchens",The Four Horsemen,"Wed, Aug 4, 2021","Wed, Aug 4, 2021",131
32,No,Reed Hastings,No Rules Rules,"Thu, Aug 5, 2021","Sun, Aug 29, 2021",272
33,Imp,Miyamoto Musashi,The Book of Five Rings,"Sat, Aug 7, 2021","Sat, Aug 14, 2021",164
34,No,Malcom Gladwell,Outliers,"Sun, Aug 8, 2021","Mon, Aug 9, 2021",269
35,Yes,Victor Frankl,Man’s Search for Meaning,"Sun, Aug 8, 2021","Mon, Aug 9, 2021",154
36,No,Charles Darwin,On The Origin of Species,"Mon, Aug 9, 2021","Sat, Aug 14, 2021",328
37,No,Friedrich Nitzsche,Beyond Good and Evil,"Mon, Aug 9, 2021","Fri, Aug 13, 2021",184
38,Yes,John Brooks,Business Adventures,"Thu, Aug 12, 2021","Sat, Aug 14, 2021",441
39,No,Noam Chomsky,Manufacturing Consent,"Mon, Aug 16, 2021","Fri, Aug 27, 2021",393
40,No,Stephen Hawking,Brief History of Time,"Wed, Aug 18, 2021","Thu, Aug 26, 2021",193
41,No,Aleksandr Solzhenitsyn,The Gulag Archipelago,"Thu, Aug 19, 2021","Tue, Aug 24, 2021",468
42,No,Jon Ronson,The Psychopath Test,"Tue, Aug 24, 2021","Wed, Aug 25, 2021",286
43,No,Stephen Hawking,Black Holes and Baby Universes,"Fri, Aug 27, 2021","Sat, Aug 28, 2021",161
44,Maybe,Arthur Schopenhauer,The Art of Being Right,"Fri, Aug 27, 2021","Sat, Aug 28, 2021",121
45,No,Stephen Hawking,The Grand Design,"Sat, Aug 28, 2021","Sun, Aug 29, 2021",228
46,Maybe,Bertrand Russell,Education,"Sun, Aug 29, 2021","Fri, Sept 3, 2021",178
47,No,Gad Saad,The Parasitic Mind,"Mon, Aug 30, 2021","Fri, Sept 3, 2021",190
48,No,Barack Obama,A Promised Land,"Wed, Sept 1, 2021","Tue, Sept 14, 2021",700
49,Ref,Christopher Browning,Ordinary Men,"Fri, Sept 3, 2021","Tue, Sept 7, 2021",291
50,No,Robert Iger,The Ride of a Lifetime,"Mon, Sept 6, 2021","Thu, Sept 9, 2021",233
51,Maybe,Jordan Peterson,12 More Rules for Life: Beyond Order,"Thu, Sept 9, 2021","Sun, Sept 12, 2021",382
52,No,Richard Feynman,Six Not So Easy Pieces,"Thu, Sept 9, 2021","Thu, Sept 16, 2021",144
53,No,Nicholas Carr,The Shallows,"Sun, Sept 12, 2021","Tue, Sept 14, 2021",228
54,No,Yuval Noah Harari,Sapiens,"Tue, Sept 14, 2021","Thu, Sept 16, 2021",466
55,No,Yuval Noah Harari,Homo Deus,"Thu, Sept 16, 2021","Sat, Sept 18, 2021",462
56,No,Richard Feynman,What do you care what other people think?,"Thu, Sept 16, 2021","Sat, Sept 18, 2021",248
57,No,Richard Feynman,Surely You’re Joking Mr. Feynman,"Sat, Sept 18, 2021","Wed, Sept 22, 2021",345
58,No,Titania McGrath,Woke,"Wed, Sept 22, 2021","Wed, Sept 22, 2021",150
59,Maybe,Robert Kiyosaki,Rich Dad Poor Dad,"Thu, Sept 23, 2021","Thu, Sept 23, 2021",220
60,Maybe,Joe Navarro,What Every Body is Saying?,"Fri, Sept 24, 2021","Wed, Sept 29, 2021",234
61,No,David Attenborough,Life on Earth,"Wed, Sept 29, 2021","Sat, Oct 2, 2021",363
62,Ref,Chriss Voss,Never Split the Difference,"Thu, Sept 30, 2021","Thu, Oct 28, 2021",245
63,No,Chiara Marletto,The Science of Can and Can’t,"Thu, Sept 30, 2021","Wed, Nov 10, 2021",240
64,Maybe,Richard Rhodes,The Making of the Atomic Bomb,"Sat, Oct 2, 2021","Fri, Oct 8, 2021",749
65,No,Hannah Arendt,Eichmann in Jerusalem,"Fri, Oct 8, 2021","Sat, Oct 9, 2021",298
66,No,Malcom Gladwell,The Bomber Mafia,"Sat, Oct 9, 2021","Sat, Oct 9, 2021",206
67,No,Malcom Gladwell,Talking to Strangers,"Sat, Oct 9, 2021","Sun, Oct 10, 2021",348
68,No,Walter Isaacson,The Innovators,"Sun, Oct 10, 2021","Mon, Oct 11, 2021",435
69,Ref,Matthew Walker,Why We Sleep,"Mon, Oct 11, 2021","Tue, Oct 19, 2021",342
70,Ref,Vaclav Smil,Numbers Don’t Lie,"Tue, Oct 19, 2021","Fri, Nov 12, 2021",307
71,Yes,Abhijit Banerjee & Esther Duflo,Poor Economics,"Tue, Oct 19, 2021","Tue, Oct 26, 2021",402
72,No,David Epstien,Range,"Wed, Oct 20, 2021","Wed, Oct 27, 2021",310
73,Yes,Abhijit Banerjee & Esther Duflo,Good Economics for Bad Times,"Thu, Oct 28, 2021","Sat, Nov 6, 2021",326
74,Yes,Steven Pinker,How The Mind Works,"Wed, Oct 27, 2021","Sat, Jan 15, 2022",565
75,No,Infinite Powers,Steve Strogatz,"Sun, Oct 31, 2021","Sun, Nov 7, 2021",301
76,Yes,Sun Tzu,The Art of War,"Sun, Nov 7, 2021","Mon, Nov 8, 2021",103
77,Ref,"Hector Garcia, Francesc Miralles",Ichigo Ichie,"Mon, Nov 8, 2021","Wed, Nov 10, 2021",194
78,No,Jordan Peterson,Maps of Meaning,"Mon, Nov 8, 2021","Thu, Jan 13, 2022",705
79,Ref,Kevin Many et al,Making the World Work Better,"Wed, Nov 10, 2021","Tue, Jan 25, 2022",328
80,No,Michael Pollan,This is Your Mind on Plants,"Wed, Nov 10, 2021","Fri, Nov 12, 2021",252
81,No,Richard Feynman,Don’t You Have Time to Think?,"Fri, Nov 12, 2021","Sun, Nov 14, 2021",410
82,No,Morgan Housel,Psychology of Money,"Mon, Nov 15, 2021","Tue, Nov 16, 2021",190
83,No,Brian Christian & Tom Griffiths,Algorithms to Live By,"Tue, Nov 16, 2021","Fri, Nov 19, 2021",262
84,No,Herbert Bix,Hirohito,"Mon, Nov 22, 2021","Thu, Dec 30, 2021",688
85,No,Richard Ayoade,Ayoade on Ayoade,"Sun, Dec 26, 2021","Tue, Dec 28, 2021",303
86,Ref,Meik Wiking,The Little Book of Hygge,"Wed, Dec 29, 2021","Thu, Dec 30, 2021",285
87,Ref,Meik Wiking,The Little Book of Lykke,"Thu, Dec 30, 2021","Sat, Jan 15, 2022",283
88,No,Joseph Heller,Catch-22,"Thu, Dec 30, 2021","Tue, Jan 4, 2022",570
89,No,Richard Feynman,Six Easy Pieces,"Sat, Jan 15, 2022","Fri, Jan 21, 2022",138
90,Maybe,Herman Hesse,Siddhartha,"Sat, Jan 15, 2022","Thu, Jan 20, 2022",160
91,No,Stephen Hawking,The Theory of Everything,"Sat, Jan 15, 2022","Tue, Jan 18, 2022",124
92,Ref,Joe Navarro,Louder than Words,"Sat, Jan 15, 2022","Fri, Jan 21, 2022",220
93,Ref,Parag Khanna,Connectography,"Tue, Jan 25, 2022","Sun, Jan 30, 2022",390
94,No,Hayao Miyazaki,Starting Point,"Sun, Jan 30, 2022","Thu, Feb 3, 2022",461
95,Ref,Andrew McAfee,More From Less,"Thu, Feb 3, 2022","Sat, Feb 5, 2022",271
96,No,Matt Richtel,An Elegant Defense,"Fri, Feb 4, 2022","Thu, Feb 10, 2022",410
97,No,Anthony Beevor,D-Day,"Sat, Feb 5, 2022","Fri, Feb 18, 2022",523
98,No,"Thomas Gryta, Ted Mann",Lights Out,"Thu, Feb 10, 2022","Fri, Feb 18, 2022",321
99,No,David Hoffman,Dead Hand,"Wed, Feb 16, 2022","Sat, Feb 19, 2022",487
100,No,G H Hardy,A Mathematicians Apology,"Wed, Feb 16, 2022","Sat, Feb 19, 2022",153
