index,author,OLID,name,cover
1,Neil DeGrasse Tyson,OL27711220M,Letters from an Astrophysicist,9144852
2,Neil DeGrasse Tyson,OL17710047W,Astrophysics for People in a Hurry,7984709
3,"Hector Garcia, Francesc Miralles",OL19714233W,Ikigai,11300391
4,"Neil DeGrasse Tyson, Avis Lang",OL19331960W,Accessory to War,8443277
5,Robert L Picconi,OL4288870W,Einstein for Everyone,474440
6,Jordan Peterson,OL27241047M,12 Rules for Life: An Antidote to Chaos,8744944
7,Nicollo Machiavelli,OL37826840M,The Prince,12726172
8,Bill Gates,OL26771429W,How to Avoid a Climate Disaster,12414713
9,Hans Rosling,OL28185034M,Factfullness,10121574
10,Walter Isaacson,OL24217656W,The Code Breaker,10675496
11,Fyodor Dostoyevsky,OL24574391W,Crime and Punishment,11227994
12,Nassim Taleb,OL16726829W,Anti-fragile,9180157
13,Matt Parker,OL31829191M,Humble Pi,10530378
14,George Orwell,OL37823270M,1984,12724071
15,Cathy O’Neil,OL17862181W,Weapons of Math Destruction,12879121
16,James Clear,OL17930368W,Atomic Habits,12539702
17,Tim Harford,OL21652283W,How to Make the World Add Up,12646755
18,Leonard Susskind,OL17800180W,Theoretical Minimum: Classical Mech,8084114
19,Bill Bryson,OL37822607M,A Short History of Nearly Everything,12723718
20,Adam Smith,OL76827W,The Wealth of Nations,6517992
21,George Orwell,OL1168007W,Animal Farm,11261770
22,Elizabeth Kolbert,OL16820830W,The Sixth Extinction,7910870
23,Marry Shelly,OL26203434W,Frankenstein,12200213
24,Aldous Huxley,OL64468W,Brave New World,8231823
25,"Jonathan Haidt, Gred Luianoff",OL28202924M,The Coddling of the American Mind,10138103
26,Yeonmi Park,OL35299305M,In Order to Live,12110475
27,Daniel Kahneman,OL15992072W,Thinking Fast and Slow,6974986
28,Richard Dawkins,OL24330288M,The God Delusion,6456880
29,Lao Tau,OL27804088M,Tao Te Ching,9201429
30,Angela Duckworth,OL19544745W,Grit,8511069
