index,OLID,author,name,cover
1,OL34534882W,Paul Kalanithi,When Breath becomes Air,13338248
2,OL20537401W,Lynne Murphy,The Prodigal Tongue,9185519
3,OL20153626W,David Graeber,Bullshit Jobs,8798647
4,OL20843696W,James Comey,A Higher Loyalty,10152891
5,OL27846773W,Siddhartha Mukherjee,The Song of the Cell,12982914
6,OL20046006W,Michael Lewis,The Undoing Project,8574667
7,OL24149728W,Eliot Higgins,We are Bellingcat,10548486
8,OL25328015W,Sebastian Mallaby,The Power Law,12855991
9,OL15540668W,Siddhartha Mukherjee,The Emperor of all Maladies,11320203
10,OL20787306W,Gregory Zuckerman,The Man Who Solved the Market,10079077
11,OL33857307M,"Adam Rutherford, Hannah Fry",Rutherford & Fry's Complete Guide to Absolutely Everything,12603133
12,OL24340933W,Steven Pinker,Rationality,10864130
13,OL36675855M,Nathan Lents,Human Errors,12563206
14,OL18201749W,Shoshana Zuboff,The Age of Surveillance Capitalism,8353262
15,OL22089096W,Nicolas Nissim Taleb,Skin in the Game,10439622
16,OL83715W,Dalai Lama,Freedom in Exile,42787
17,OL8062007W,Burton Malkiel,A Random Walk Down Wall Street,249923
18,OL1968368W,Robert Greene,48 Rules of Power,6424160
19,OL16568840W,Jonathan Haidt,The Righteous Mind,7256782
20,OL28623980W,Ginni Rometty,Good Power,13326892
21,OL19663289W,Nick Lane,The Vital Question,10014850
22,OL17095301W,Randall Munroe,What If? 2,12598134
23,OL30809615W,Chelsea Manning,Readme.txt,13759869
24,OL32387462M,Bjorn Lomborg,False Alarm,11051143
25,OL21209060W,James Scott,Rampage,0
26,OL27810387W,Bogdanich & Forsythe,When McKinsey comes to Town,12975794
27,OL20334242W,Zohar & Mishal,Mossad,8997685
28,OL8305185W,Bjorn Lomborg,The Skeptical Environmentalist,328655
29,OL1751051W,Sokal & Bricmont,Fashionable Nonsense,175297
30,OL25807247W,Seth Stephens-Davidowitz,Don't Trust Your Gut,14695616
31,OL27343095M,Raghuram Rajan,The Third Pillar,8807189
32,OL17551552W,Hayao Miyazaki,Turning Point,7804729
33,OL4288870W,Walter Isaacson,Einstein: His Life and Universe,474440
34,OL17043758W,Hussain Zaidi,Dongri to Dubai,7286147
35,OL18821160W,Molly Bloom,Molly’s Game,8367980
36,OL17715915W,Adam Rutherford,A Brief History of Everyone Who Ever Lived,9155814
37,OL278022W,Dubner and Levitt,Freakonomics,11172914
38,OL28321311M,Jocko Willink,Extreme Ownership,10250457
39,OL24207868M,Immanuel Kant,Metaphysics of Morals,6503264
40,OL29506523M,Friedrich Nietzsche,God is Dead. God Remains Dead. And We Have Killed Him,14149542
41,OL35996435M,Harish Bhat,#Tatastories,0
42,OL7927002M,Gene Kranz,Failure Is Not an Option,471811
43,OL32754021M,Frans de Waal,Are We Smart Enough to Know How Smart Animals Are,11380116
44,OL46535432M,Matthew Black,Operation Underworld,13232778
45,OL51149627M,Jonn Elledge,A History of the World in 47 Borders,0
46,OL7318016M,Roger Penrose,The Road to Reality,74512
47,OL54610936M,Plato,Republic,0
48,OL27157451M,Serhii Plokhy,The Last Empire,12607562
49,OL28635528M,Benjamin Graham,The Intelligent Investor,10328222
50,OL52209904M,Malcom Gladwell,Revenge of the Tipping Point,14829976
